borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Enfield,3,3,380,12,42,7,B154,BU,E,2012,2012-09-20,51.626753468000004,-0.068157551999999996
Enfield,0,1,174,1,23,2,C,CU,E,2012,2012-07-09,51.665409188999995,-0.17885594100000002
Enfield,0,1,440,2,32,4,C,CU,N,2012,2012-03-26,51.642079376999995,-0.13167731499999999
Enfield,0,0,9,0,0,0,U,UU,N,2012,2012-09-13,51.677637568999998,-0.032175047000000005
Enfield,1,0,22,0,2,0,U,UU,E,2012,2012-09-13,51.664477303999995,-0.077514042000000005
Enfield,0,0,22,0,4,0,U,UU,N,2012,2012-09-11,51.665425632000002,-0.17759724100000002
Enfield,0,0,95,0,14,1,U,UU,E,2012,2012-04-19,51.665257161999996,-0.058234244000000004
