borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Haringey,8,10,497,4,105,16,B138,BU,N,2011,2011-06-06,51.584434591000004,-0.10676147800000001
Haringey,5,1,87,5,9,2,C,CU,E,2011,2011-05-17,51.584143140000002,-0.12164115
Haringey,4,6,183,0,30,7,C,CU,E,2011,2011-07-04,51.577875310000003,-0.13913200000000001
Haringey,0,0,6,0,0,0,U,UU,N,2011,2011-05-26,51.586882905000003,-0.069372958999999998
Haringey,0,0,5,0,1,0,U,UU,E,2011,2011-10-18,51.601850986999999,-0.118383473
Haringey,3,0,25,0,7,3,U,UU,N,2011,2011-03-28,51.589551581000002,-0.061608560999999999
Haringey,0,1,62,0,12,2,U,UU,E,2011,2011-07-05,51.598286996999995,-0.11259635599999999
