borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Havering,4,6,941,24,106,22,A124,PU,E,2013,09/10/2013,51.565694610000001,0.187460443
Havering,0,22,2555,8,509,721,M25,TM,N,2013,23/05/2013,51.542584890000001,0.282229799
Havering,0,24,1346,8,191,47,A12,PU,E,2013,13/09/2013,51.588671679999997,0.17583108100000003
Havering,0,22,2426,14,608,685,M25,TM,N,2013,26/06/2013,51.589212209999999,0.27070684
Havering,2,6,576,113,115,29,A1251,PU,N,2013,03/06/2013,51.579515620000002,0.18461676699999999
Havering,4,20,1109,6,123,68,A12,PU,E,2013,09/07/2013,51.60011926,0.23659413199999998
Havering,0,40,1616,16,426,395,A13,PR,E,2013,05/07/2013,51.501202990000003,0.21733808100000002
Havering,0,6,1030,2,228,39,A127,PR,E,2013,18/10/2013,51.574871389999998,0.27287839000000003
Havering,1,2,114,3,71,40,A1306,PU,E,2013,23/10/2013,51.517025459999999,0.169531706
Havering,0,52,2065,29,341,364,A13,PU,E,2013,11/06/2013,51.514240940000001,0.17905607699999998
