borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Hammersmith and Fulham,21,16,226,31,68,18,C,CU,E,2015,2015-10-08,51.516424811000007,-0.23241039699999999
Hammersmith and Fulham,2,0,20,0,2,0,U,UU,N,2015,2015-03-18,51.499498001999996,-0.235788372
Hammersmith and Fulham,1,0,12,0,2,0,U,UU,E,2015,2015-10-19,51.504168354999997,-0.249210089
Hammersmith and Fulham,4,2,46,0,11,1,U,UU,N,2015,2015-05-18,51.500259183000004,-0.23856849199999999
