borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Hammersmith and Fulham,4,87,1526,35,482,196,A40,PU,E,2014,12/09/2014,51.514410699999999,-0.24319664999999999
Hammersmith and Fulham,6,121,2343,39,486,152,A4,PU,E,2014,25/06/2014,51.490602879999997,-0.24406876199999999
Hammersmith and Fulham,10,102,1936,39,417,107,A4,PU,E,2014,19/09/2014,51.490960190000003,-0.21531737100000001
Hammersmith and Fulham,0,62,1141,14,304,117,A3220,PU,N,2014,21/10/2014,51.509000069999999,-0.21893569500000001
