borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Hackney,5,0,15,0,5,0,B114,BU,N,2016,2016-03-23,51.544299433999996,-0.035553602999999996
Hackney,25,9,114,0,40,7,B108,BU,N,2016,2016-04-27,51.531458596000007,-0.069714713999999997
Hackney,14,5,214,1,56,8,C,CU,N,2016,2016-04-28,51.566248593000005,-0.084950259
Hackney,9,2,96,1,22,1,C,CU,N,2016,2016-05-11,51.570925726999995,-0.081160534000000006
Hackney,6,1,15,0,3,0,U,UU,N,2016,2016-09-14,51.543808321000007,-0.068254699000000002
Hackney,8,0,19,0,5,1,U,UU,E,2016,2016-05-26,51.538745956999996,-0.068281607000000008
