borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Kensington and Chelsea,29,99,1023,33,172,53,A4,PU,E,2012,27/04/2012,51.494742350000003,-0.18635748300000002
Kensington and Chelsea,107,73,631,17,158,61,A3220,PU,E,2012,26/10/2012,51.481195540000002,-0.17681365899999998
Kensington and Chelsea,40,38,338,35,72,28,A308,PU,N,2012,28/06/2012,51.491642999999996,-0.17207533899999999
Kensington and Chelsea,13,11,111,38,34,10,A4206,PU,N,2012,12/07/2012,51.514517050000002,-0.19570404399999999
Kensington and Chelsea,22,94,1361,30,269,52,A4,PU,E,2012,04/10/2012,51.493971180000003,-0.197581443
Kensington and Chelsea,97,33,431,43,85,31,A315,PU,E,2012,29/06/2012,51.498558930000002,-0.200613288
Kensington and Chelsea,40,32,322,27,88,24,A3217,PU,E,2012,18/10/2012,51.48231869,-0.17964930800000001
Kensington and Chelsea,118,78,599,9,189,52,A3212,PU,E,2012,26/03/2012,51.484497859999998,-0.15795815800000002
Kensington and Chelsea,0,132,1455,17,417,138,A40,PU,E,2012,10/10/2012,51.517428199999998,-0.21140033100000002
