borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Sutton,6,10,669,20,120,31,A232,PU,E,2011,13/07/2011,51.369213770000002,-0.13529163699999999
Sutton,4,15,885,19,161,26,A217,PU,N,2011,29/06/2011,51.373907350000003,-0.20550489399999999
